,0
"2245 JERROLD, San Francisco","(37.7452434, -122.4012488)"
"8 Capital Street, San Francisco","(37.7108622, -122.4585864)"
"1145 Stanyan Street, San Francisco","(37.7634628, -122.4526316)"
"80 Digby Street, San Francisco","(37.7402791, -122.4333702)"
"299 Vermont Street, San Francisco","(37.7661645, -122.4043209)"
"1415 Evans Avenue, San Francisco","(37.740742, -122.3853284)"
"1000 Ocean Avenue, San Francisco","(37.7232908, -122.4529247)"
"1443 GROVE, San Francisco","(37.7754351, -122.4402719)"
"2430 San Bruno Avenue, San Francisco","(37.7315794, -122.4055626)"
"449 MISSION ROCK, San Francisco","(37.7727739, -122.38923)"
"1298 Girard Street, San Francisco","(37.7166417, -122.4004505)"
"36 BLUXOME, San Francisco","(37.7772827, -122.3967853)"
"1340 POWELL, San Francisco","(37.7970513, -122.4099507)"
"390 Buckingham Way, San Francisco","(37.7278234, -122.478942)"
"2251 Greenwich Street, San Francisco","(37.7986661, -122.4367471)"
"441 12th Avenue, San Francisco","(37.7798718, -122.4709543)"
"655 PRESIDIO, San Francisco","(37.7856729, -122.4468446)"
"100 Hoffman Avenue, San Francisco","(37.7531106, -122.4410957)"
"499 41st Avenue, San Francisco","(37.7794499, -122.5026855)"
"3305 3rd Street, San Francisco","(37.7479108, -122.3871002)"
"2300 FOLSOM, San Francisco","(37.7602611, -122.4151762)"
"194 Park Street, San Francisco","(37.7364417, -122.4212155)"
"1290 16th Avenue , San Francisco","(37.7639903, -122.4736446)"
"380 The Embarcadero, San Francisco","(37.79652129999999, -122.395473)"
"720 Moscow Street, San Francisco","(37.7163609, -122.431631)"
"285 Olympia Way, San Francisco","(37.7511703, -122.4562239)"
"530 Sansome Street, San Francisco","(37.7955293, -122.4013894)"
"3880 26th Street, San Francisco","(37.7486317, -122.4265007)"
"798 Wisconsin Street, San Francisco","(37.7573061, -122.3989451)"
"935 FOLSOM, San Francisco","(37.7794237, -122.4041048)"
"1348 45th Avenue, San Francisco","(37.7614112, -122.5046487)"
"1325 Leavenworth Street , San Francisco","(37.7933971, -122.4165178)"
"1067 POST, San Francisco","(37.7866445, -122.4193329)"
"1814 Stockton Street, San Francisco","(37.8025537, -122.409369)"
"1301 TURK, San Francisco","(37.7804435, -122.430725)"
"2150 California Street, San Francisco","(37.7896976, -122.4299245)"
"1295 Shafter Avenue, San Francisco","(37.7275225, -122.385028)"
"1935 32nd Avenue, San Francisco","(37.7509061, -122.4905279)"
"218 Lincoln Blvd, San Francisco","(37.80156660000001, -122.455466)"
"1091 Portola Drive, San Francisco","(37.7400312, -122.4586575)"
"135 SANCHEZ, San Francisco","(37.767088, -122.4307689)"
"109 Oak Street, San Francisco","(37.7749469, -122.4212156)"
"800 Avenue I, San Francisco","(36.1444838, -115.1438187)"
"551 26th Avenue, San Francisco","(37.779036, -122.486066)"
"2155 18th Avenue, San Francisco","(37.7476471, -122.4754049)"
